Plant_Id,fuel_cost_2012.01,fuel_cost_2012.02,fuel_cost_2012.03,fuel_cost_2012.04,fuel_cost_2012.05,fuel_cost_2012.06,fuel_cost_2012.07,fuel_cost_2012.08,fuel_cost_2012.09,fuel_cost_2012.10,fuel_cost_2012.11,fuel_cost_2012.12,generation_MWh_2012.01,generation_MWh_2012.02,generation_MWh_2012.03,generation_MWh_2012.04,generation_MWh_2012.05,generation_MWh_2012.06,generation_MWh_2012.07,generation_MWh_2012.08,generation_MWh_2012.09,generation_MWh_2012.10,generation_MWh_2012.11,generation_MWh_2012.12
527,1977.50,1887.90,1910.00,1818.00,200.00,1272.00,183.50,170.20,1222.60,1470.00,1530.00,1726.00,55978.00,54371.00,51285.00,53819.00,54719.00,48537.00,55700.00,55336.00,0.00,56007.00,49869.00,17642.00
533,2589.10,1991.40,1050.70,1180.90,1864.80,2435.00,3373.90,3631.40,2316.30,1339.60,2621.40,3469.70,88574.00,66868.00,47752.00,96517.00,77080.00,105437.00,116474.00,113698.00,56501.00,67673.00,101161.00,115651.00
544,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
546,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,745.00,342.00,4027.00,0.00,393.00,10032.00,4363.00,2133.00,754.00,6786.00,0.00,579.00
548,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1814.00,1648.00,0.00,1381.00,6797.00,5915.00,2264.00,0.00,1119.00,1531.00,0.00
550,592.20,0,0,0,0,442.40,0,0,680.60,666.70,0,0,32221.00,29965.00,10345.00,-312.00,-290.00,-276.00,13365.00,27774.00,23983.00,26935.00,23174.00,22285.00
562,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1982.00,0.00,0.00,0.00,3404.00,28048.00,71260.00,44180.00,15859.00,12474.00,2799.00,0.00
564,5709.00,751.40,1146.60,5348.10,2489.00,1733.80,2310.30,7024.60,1871.40,3065.20,2983.40,3287.00,190658.00,199119.00,172320.00,289735.00,242516.00,432279.00,514646.00,430517.00,327064.00,322079.00,282025.00,233156.00
568,0.00,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,25217.00,-1823.00,-1612.00,-1424.00,5566.00,16649.00,19771.00,14257.00,-1473.00,9.00,-1734.00,26058.00
589,444.30,411.80,358.70,324.20,308.40,368.80,378.10,2814.50,401.00,426.60,486.50,505.80,17476.00,11747.00,13513.00,18355.00,22901.00,16477.00,20530.00,25052.00,14641.00,2010.00,27423.00,35321.00
